['21.02.2021', '1', '58,6610']
['20.02.2021', '1', '58,3051']
['19.02.2021', '1', '58,0635']
['18.02.2021', '1', '58,0385']
['17.02.2021', '1', '57,9730']
['16.02.2021', '1', '57,8879']
['13.02.2021', '1', '58,0405']
['12.02.2021', '1', '58,1412']
['11.02.2021', '1', '58,2067']
['10.02.2021', '1', '58,2149']
['09.02.2021', '1', '58,1339']
['06.02.2021', '1', '58,7032']
['05.02.2021', '1', '59,2422']
['04.02.2021', '1', '59,5632']
['03.02.2021', '1', '59,3287']
['02.02.2021', '1', '59,0531']
['30.01.2021', '1', '59,3083']
['29.01.2021', '1', '59,3159']
['28.01.2021', '1', '58,9566']
